"","state_name","county_fips","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","area","pop"
"1","Alabama",1001,"Autauga County",19838,7503,27770,12335,0.714368023046453,0.270183651422398,0.444184371624055,"Autauga County, Alabama",58802
"2","Alabama",1003,"Baldwin County",83544,24578,109679,58966,0.761713728243328,0.22409029987509,0.537623428368238,"Baldwin County, Alabama",231761
"3","Alabama",1005,"Barbour County",5622,4816,10518,806,0.534512264689104,0.457881726563986,0.0766305381251188,"Barbour County, Alabama",25224
"4","Alabama",1007,"Bibb County",7525,1986,9595,5539,0.784262636789995,0.206982803543512,0.577279833246482,"Bibb County, Alabama",22300
"5","Alabama",1009,"Blount County",24711,2640,27588,22071,0.895715528490648,0.0956937799043062,0.800021748586342,"Blount County, Alabama",59130
"6","Alabama",1011,"Bullock County",1146,3446,4613,-2300,0.248428354649902,0.747019293301539,-0.498590938651637,"Bullock County, Alabama",10362
"7","Alabama",1013,"Butler County",5458,3965,9488,1493,0.575252951096121,0.41789629005059,0.157356661045531,"Butler County, Alabama",19055
"8","Alabama",1015,"Calhoun County",35101,15216,50983,19885,0.688484396759704,0.298452425318243,0.390031971441461,"Calhoun County, Alabama",116444
"9","Alabama",1017,"Chambers County",8753,6365,15284,2388,0.572690395184507,0.416448573671814,0.156241821512693,"Chambers County, Alabama",34774
"10","Alabama",1019,"Cherokee County",10583,1624,12301,8959,0.860336558003414,0.132021786846598,0.728314771156817,"Cherokee County, Alabama",24979
"11","Alabama",1021,"Chilton County",16085,3073,19310,13012,0.832988089073019,0.159140341791818,0.673847747281201,"Chilton County, Alabama",45009
"12","Alabama",1023,"Choctaw County",4296,3127,7464,1169,0.57556270096463,0.418944265809218,0.156618435155413,"Choctaw County, Alabama",12663
"13","Alabama",1025,"Clarke County",7324,5755,13135,1569,0.557594213932242,0.438142367719833,0.11945184621241,"Clarke County, Alabama",23087
"14","Alabama",1027,"Clay County",5601,1267,6930,4334,0.808225108225108,0.182828282828283,0.625396825396825,"Clay County, Alabama",14237
"15","Alabama",1029,"Cleburne County",6484,675,7227,5809,0.897191088971911,0.0933997509339975,0.803791338037913,"Cleburne County, Alabama",15057
"16","Alabama",1031,"Coffee County",16899,5076,22275,11823,0.758653198653199,0.227878787878788,0.530774410774411,"Coffee County, Alabama",53460
"17","Alabama",1033,"Colbert County",19203,8343,27886,10860,0.688625116545937,0.299182385426379,0.389442731119558,"Colbert County, Alabama",57232
"18","Alabama",1035,"Conecuh County",3442,2966,6441,476,0.534389070020183,0.460487501940692,0.0739015680794908,"Conecuh County, Alabama",11597
"19","Alabama",1037,"Coosa County",3631,1796,5479,1835,0.662712173754335,0.327797043256069,0.334915130498266,"Coosa County, Alabama",10382
"20","Alabama",1039,"Covington County",14586,2721,17430,11865,0.836833046471601,0.156110154905336,0.680722891566265,"Covington County, Alabama",37567
"21","Alabama",1041,"Crenshaw County",4864,1700,6617,3164,0.735076318573372,0.256914009369805,0.478162309203567,"Crenshaw County, Alabama",13197
"22","Alabama",1043,"Cullman County",36880,4478,41851,32402,0.881221476189338,0.106998638025376,0.774222838163963,"Cullman County, Alabama",87857
"23","Alabama",1045,"Dale County",14303,5170,19738,9133,0.724642820954504,0.261931300030398,0.462711520924106,"Dale County, Alabama",49319
"24","Alabama",1047,"Dallas County",5524,12230,17864,-6706,0.30922525750112,0.6846171070309,-0.375391849529781,"Dallas County, Alabama",38463
"25","Alabama",1049,"DeKalb County",24767,4281,29356,20486,0.843677612753781,0.145830494617795,0.697847118135986,"DeKalb County, Alabama",71611
"26","Alabama",1051,"Elmore County",30164,10367,41030,19797,0.735169388252498,0.252668778942237,0.482500609310261,"Elmore County, Alabama",87974
"27","Alabama",1053,"Escambia County",10869,4918,15910,5951,0.683155248271527,0.309113764927718,0.374041483343809,"Escambia County, Alabama",36767
"28","Alabama",1055,"Etowah County",35528,11567,47728,23961,0.744384847468991,0.242352497485753,0.502032349983238,"Etowah County, Alabama",103441
"29","Alabama",1057,"Fayette County",7300,1395,8766,5905,0.832762947752681,0.159137577002053,0.673625370750627,"Fayette County, Alabama",16326
"30","Alabama",1059,"Franklin County",10376,2086,12578,8290,0.824932421688663,0.165845126411194,0.659087295277469,"Franklin County, Alabama",32113
"31","Alabama",1061,"Geneva County",10848,1595,12545,9253,0.864726982861698,0.127142287764049,0.737584695097648,"Geneva County, Alabama",26660
"32","Alabama",1063,"Greene County",875,3884,4775,-3009,0.183246073298429,0.813403141361257,-0.630157068062827,"Greene County, Alabama",7734
"33","Alabama",1065,"Hale County",3190,4687,7922,-1497,0.402676091895986,0.591643524362535,-0.188967432466549,"Hale County, Alabama",14786
"34","Alabama",1067,"Henry County",6607,2606,9298,4001,0.710582921058292,0.280275328027533,0.430307593030759,"Henry County, Alabama",17148
"35","Alabama",1069,"Houston County",32618,12917,46173,19701,0.706430164814935,0.279752236155329,0.426677928659606,"Houston County, Alabama",107204
"36","Alabama",1071,"Jackson County",19670,3717,23636,15953,0.832205110847859,0.157260111694026,0.674944999153833,"Jackson County, Alabama",52582
"37","Alabama",1073,"Jefferson County",138843,181688,325848,-42845,0.426097444207115,0.557585131717856,-0.131487687510741,"Jefferson County, Alabama",674355
"38","Alabama",1075,"Lamar County",6174,978,7193,5196,0.858334491867093,0.135965522035312,0.722368969831781,"Lamar County, Alabama",13976
"39","Alabama",1077,"Lauderdale County",31721,11915,44339,19806,0.71541983355511,0.268725050181556,0.446694783373554,"Lauderdale County, Alabama",93565
"40","Alabama",1079,"Lawrence County",12322,3562,16031,8760,0.768635768199114,0.222194498159815,0.546441270039299,"Lawrence County, Alabama",33077
"41","Alabama",1081,"Lee County",42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.200996514996711,"Lee County, Alabama",174244
"42","Alabama",1083,"Limestone County",34640,13672,49235,20968,0.703564537422565,0.277688636132832,0.425875901289733,"Limestone County, Alabama",103563
"43","Alabama",1085,"Lowndes County",1836,4972,6835,-3136,0.26861741038771,0.727432333577176,-0.458814923189466,"Lowndes County, Alabama",10310
"44","Alabama",1087,"Macon County",1541,7108,8723,-5567,0.176659406167603,0.814857273873667,-0.638197867706064,"Macon County, Alabama",19534
"45","Alabama",1089,"Madison County",102780,87286,194767,15494,0.527707465843803,0.44815600178675,0.0795514640570528,"Madison County, Alabama",388160
"46","Alabama",1091,"Marengo County",5343,5488,10900,-145,0.490183486238532,0.50348623853211,-0.013302752293578,"Marengo County, Alabama",19324
"47","Alabama",1093,"Marion County",12205,1463,13807,10742,0.88397189831245,0.105960744549866,0.778011153762584,"Marion County, Alabama",29341
"48","Alabama",1095,"Marshall County",33191,5943,39655,27248,0.836994073887278,0.149867608120035,0.687126465767242,"Marshall County, Alabama",97611
"49","Alabama",1097,"Mobile County",101243,79474,183164,21769,0.552745080911096,0.433895306938045,0.118849773973052,"Mobile County, Alabama",414812
"50","Alabama",1099,"Monroe County",6147,4455,10668,1692,0.576209223847019,0.417604049493813,0.158605174353206,"Monroe County, Alabama",19770
"51","Alabama",1101,"Montgomery County",33311,64529,99139,-31218,0.336002985706937,0.650894199053854,-0.314891213346917,"Montgomery County, Alabama",228948
"52","Alabama",1103,"Morgan County",39664,13234,53722,26430,0.738319496668032,0.24634228062991,0.491977216038122,"Morgan County, Alabama",123421
"53","Alabama",1105,"Perry County",1339,3860,5230,-2521,0.256022944550669,0.738049713193117,-0.482026768642447,"Perry County, Alabama",8515
"54","Alabama",1107,"Pickens County",5594,4022,9668,1572,0.578609846917666,0.416011584609019,0.162598262308647,"Pickens County, Alabama",19124
"55","Alabama",1109,"Pike County",8042,5636,13841,2406,0.581027382414565,0.407196011848855,0.173831370565711,"Pike County, Alabama",33008
"56","Alabama",1111,"Randolph County",8559,2203,10837,6356,0.789794223493587,0.203285041985789,0.586509181507797,"Randolph County, Alabama",21970
"57","Alabama",1113,"Russell County",9864,11228,21329,-1364,0.462468939003235,0.526419428946505,-0.0639504899432697,"Russell County, Alabama",59187
"58","Alabama",1115,"St. Clair County",36166,7744,44441,28422,0.813798069350375,0.17425350464661,0.639544564703765,"St. Clair County, Alabama",91471
"59","Alabama",1117,"Shelby County",79700,33268,114950,46432,0.693344932579382,0.289412788168769,0.403932144410613,"Shelby County, Alabama",223034
"60","Alabama",1119,"Sumter County",1598,4648,6291,-3050,0.254013670322683,0.738833253854713,-0.48481958353203,"Sumter County, Alabama",12348
"61","Alabama",1121,"Talladega County",22235,13138,35663,9097,0.623475310545944,0.368393012365757,0.255082298180187,"Talladega County, Alabama",82152
"62","Alabama",1123,"Tallapoosa County",14963,5859,20991,9104,0.71282930779858,0.279119622695441,0.433709685103139,"Tallapoosa County, Alabama",41316
"63","Alabama",1125,"Tuscaloosa County",51117,37765,90172,13352,0.566883289712993,0.418810717295835,0.148072572417158,"Tuscaloosa County, Alabama",227041
"64","Alabama",1127,"Walker County",26002,4834,31170,21168,0.834199550850176,0.155085017645172,0.679114533205005,"Walker County, Alabama",65342
"65","Alabama",1129,"Washington County",6564,2258,8876,4306,0.739522307345651,0.254393871113114,0.485128436232537,"Washington County, Alabama",15388
"66","Alabama",1131,"Wilcox County",1833,4048,5903,-2215,0.31052007453837,0.685753006945621,-0.375232932407251,"Wilcox County, Alabama",10601
"67","Alabama",1133,"Winston County",10195,974,11284,9221,0.903491669620702,0.0863169088975541,0.817174760723148,"Winston County, Alabama",23544
